epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,944.655,0.61394,0.67992,1.0502,0.87437,0.86723,0.88081,0.74429,0.5562,0.72708,1.10274,0.000848969,0.000848969,0.000848969
43,966.546,0.61802,0.66712,1.03512,0.84409,0.89037,0.87648,0.73064,0.5652,0.75453,1.11643,0.000834822,0.000834822,0.000834822
44,988.115,0.61185,0.66669,1.0339,0.79586,0.9262,0.8692,0.74202,0.53709,0.70749,1.0958,0.000820675,0.000820675,0.000820675
45,1010.08,0.62924,0.65399,1.04514,0.82302,0.9425,0.8832,0.76578,0.51144,0.64948,1.04067,0.000806528,0.000806528,0.000806528
46,1031.75,0.58995,0.64695,1.01452,0.83381,0.89949,0.87341,0.76286,0.53128,0.68057,1.05618,0.00079238,0.00079238,0.00079238
47,1053.74,0.59208,0.61889,1.0218,0.80953,0.89908,0.87006,0.76518,0.5172,0.77341,1.04903,0.000778233,0.000778233,0.000778233
48,1075.66,0.58735,0.64373,1.02605,0.8598,0.88873,0.87093,0.77039,0.51843,0.72352,1.05257,0.000764086,0.000764086,0.000764086
49,1097.44,0.59926,0.63922,1.02933,0.81471,0.90841,0.87401,0.77829,0.51162,0.67487,1.0341,0.000749939,0.000749939,0.000749939
50,1119.48,0.61857,0.63592,1.03651,0.79844,0.89024,0.80882,0.71087,0.54113,0.88159,1.05723,0.000735792,0.000735792,0.000735792
51,1140.86,0.60262,0.63593,1.0171,0.79721,0.89476,0.81951,0.73044,0.52223,0.87546,1.07213,0.000721645,0.000721645,0.000721645
52,1162.3,0.55531,0.63039,0.99138,0.80962,0.89575,0.82054,0.72823,0.51229,0.74952,1.07267,0.000707498,0.000707498,0.000707498
53,1183.64,0.60502,0.63394,1.02117,0.7939,0.90878,0.82312,0.71758,0.5193,0.68796,1.07007,0.000693351,0.000693351,0.000693351
54,1205.01,0.54244,0.57574,0.99811,0.84077,0.87431,0.81885,0.72065,0.52465,0.6895,1.07394,0.000679204,0.000679204,0.000679204
55,1226.39,0.56982,0.61932,1.01016,0.78503,0.89896,0.81289,0.71915,0.53551,0.69814,1.07461,0.000665057,0.000665057,0.000665057
56,1248.05,0.56282,0.5809,1.00774,0.7409,0.92037,0.86913,0.77057,0.5617,0.74811,1.06869,0.000650909,0.000650909,0.000650909
57,1270.01,0.55742,0.58639,1.00808,0.66518,0.91041,0.83947,0.74297,0.52857,0.82512,1.05254,0.000636762,0.000636762,0.000636762
58,1291.9,0.58402,0.59932,1.02125,0.67104,0.91221,0.84318,0.75648,0.49965,0.82401,1.03411,0.000622615,0.000622615,0.000622615
59,1313.41,0.56013,0.59729,1.01538,0.8347,0.864,0.8724,0.78033,0.48623,0.78939,1.05411,0.000608468,0.000608468,0.000608468
60,1335.6,0.55891,0.56323,0.99619,0.84943,0.85725,0.87338,0.7816,0.495,0.75369,1.06357,0.000594321,0.000594321,0.000594321
61,1357.92,0.54209,0.56566,0.99323,0.8563,0.85273,0.82527,0.73718,0.50054,0.64951,1.05325,0.000580174,0.000580174,0.000580174
62,1379.55,0.54012,0.55359,0.99397,0.82513,0.87424,0.8744,0.7739,0.50608,0.6622,1.04813,0.000566027,0.000566027,0.000566027
63,1400.99,0.5435,0.55321,0.98728,0.78298,0.86349,0.84123,0.7301,0.50368,0.73711,1.04779,0.00055188,0.00055188,0.00055188
64,1422.56,0.53996,0.56423,0.97997,0.78737,0.87694,0.84035,0.73743,0.5288,0.73552,1.04317,0.000537733,0.000537733,0.000537733
65,1443.96,0.53733,0.56046,0.98621,0.70068,0.88499,0.832,0.72624,0.49543,0.76092,1.0082,0.000523586,0.000523586,0.000523586
66,1465.21,0.54758,0.57567,0.99347,0.6655,0.88499,0.8371,0.76029,0.47215,0.74405,1.00717,0.000509438,0.000509438,0.000509438
67,1486.99,0.52449,0.50996,0.98573,0.8179,0.8671,0.87524,0.80406,0.4542,0.70363,0.99867,0.000495291,0.000495291,0.000495291
68,1508.72,0.54084,0.53933,1.00381,0.83317,0.86478,0.87982,0.77811,0.45556,0.70554,0.99948,0.000481144,0.000481144,0.000481144
69,1530.23,0.49983,0.52702,0.96877,0.82456,0.89354,0.87821,0.7723,0.45115,0.70453,0.99654,0.000466997,0.000466997,0.000466997
70,1551.79,0.5152,0.52015,0.97665,0.84481,0.89835,0.87555,0.78841,0.46058,0.68336,0.99926,0.00045285,0.00045285,0.00045285
71,1573.6,0.4934,0.51651,0.97836,0.85332,0.89021,0.87232,0.78451,0.45136,0.69151,1.00119,0.000438703,0.000438703,0.000438703
72,1595.08,0.48302,0.49447,0.9509,0.83737,0.89304,0.87089,0.78794,0.45381,0.73262,1.00851,0.000424556,0.000424556,0.000424556
73,1616.79,0.49159,0.51491,0.9596,0.85734,0.89949,0.87164,0.77837,0.45022,0.69306,1.00703,0.000410409,0.000410409,0.000410409
74,1638.44,0.49906,0.5021,0.96536,0.80828,0.90482,0.87656,0.78394,0.44432,0.66109,1.00304,0.000396262,0.000396262,0.000396262
75,1659.87,0.46835,0.4898,0.94804,0.78961,0.90922,0.86983,0.77918,0.43288,0.68325,0.98422,0.000382115,0.000382115,0.000382115
76,1683.14,0.47267,0.49094,0.96145,0.81076,0.91417,0.87176,0.79549,0.42661,0.71383,0.9823,0.000367967,0.000367967,0.000367967
77,1706.24,0.45314,0.49366,0.93945,0.82001,0.90695,0.87499,0.80951,0.41889,0.68328,0.99655,0.00035382,0.00035382,0.00035382
78,1728.83,0.46295,0.48076,0.94938,0.81883,0.8995,0.87664,0.79347,0.43512,0.69706,1.00119,0.000339673,0.000339673,0.000339673
79,1751.9,0.46485,0.491,0.95132,0.8301,0.89889,0.87445,0.80626,0.44502,0.7036,0.9982,0.000325526,0.000325526,0.000325526
80,1776.24,0.48485,0.48979,0.96669,0.79378,0.88707,0.87421,0.8031,0.44291,0.68926,1.00651,0.000311379,0.000311379,0.000311379
81,1798.65,0.47154,0.48681,0.94172,0.7194,0.90588,0.8507,0.76312,0.43508,0.65717,1.00039,0.000297232,0.000297232,0.000297232
82,1820.97,0.48658,0.50721,0.96957,0.82605,0.88566,0.88425,0.81003,0.43424,0.62507,1.00095,0.000283085,0.000283085,0.000283085
83,1843.03,0.47433,0.49765,0.95975,0.8055,0.89377,0.88814,0.81396,0.44042,0.61649,1.01031,0.000268938,0.000268938,0.000268938
84,1865.08,0.46467,0.48098,0.96161,0.80262,0.90498,0.88312,0.79323,0.43695,0.63305,1.01567,0.000254791,0.000254791,0.000254791
85,1887.49,0.48616,0.49634,0.97089,0.79996,0.90459,0.87731,0.79068,0.43472,0.64148,1.01383,0.000240644,0.000240644,0.000240644
86,1909.96,0.44994,0.48223,0.96098,0.79459,0.90486,0.87464,0.80556,0.42973,0.63717,0.99729,0.000226497,0.000226497,0.000226497
87,1932.28,0.44373,0.44936,0.93428,0.80672,0.91267,0.87274,0.80048,0.44056,0.6504,0.99517,0.000212349,0.000212349,0.000212349
88,1954.05,0.4419,0.46497,0.94214,0.80437,0.90235,0.87283,0.7926,0.45702,0.68978,1.00695,0.000198202,0.000198202,0.000198202
89,1976.22,0.43888,0.44426,0.93715,0.80741,0.89306,0.87286,0.79281,0.45919,0.69387,1.01324,0.000184055,0.000184055,0.000184055
90,1998.36,0.43894,0.46804,0.94506,0.74803,0.91307,0.84722,0.75862,0.46014,0.70485,1.01695,0.000169908,0.000169908,0.000169908
91,2019.78,0.37432,0.43571,0.90035,0.80889,0.70935,0.8248,0.75091,0.44925,0.69359,1.00841,0.000155761,0.000155761,0.000155761
92,2041.16,0.37195,0.43023,0.89473,0.81378,0.70922,0.82552,0.75705,0.42346,0.65784,0.98726,0.000141614,0.000141614,0.000141614
93,2062.57,0.36157,0.40605,0.88172,0.81035,0.71522,0.8292,0.76121,0.40964,0.63222,0.97818,0.000127467,0.000127467,0.000127467
94,2084.11,0.35346,0.40087,0.88893,0.81321,0.7182,0.83252,0.77139,0.41024,0.62544,0.9827,0.00011332,0.00011332,0.00011332
95,2105.1,0.34828,0.36527,0.87014,0.82219,0.70684,0.82091,0.73966,0.41904,0.65321,0.98141,9.91726e-05,9.91726e-05,9.91726e-05
96,2125.91,0.34579,0.38719,0.87218,0.80873,0.71733,0.84737,0.76909,0.42056,0.66968,0.97997,8.50255e-05,8.50255e-05,8.50255e-05
97,2146.82,0.33344,0.36987,0.87324,0.80834,0.71686,0.84773,0.77308,0.4177,0.67267,0.97755,7.08784e-05,7.08784e-05,7.08784e-05
98,2168,0.3283,0.36845,0.86349,0.80827,0.71558,0.85076,0.7732,0.41046,0.65166,0.97326,5.67313e-05,5.67313e-05,5.67313e-05
99,2188.72,0.3208,0.35332,0.87617,0.80882,0.71532,0.85165,0.77388,0.40447,0.63197,0.97492,4.25842e-05,4.25842e-05,4.25842e-05
100,2209.71,0.3164,0.34409,0.85314,0.81047,0.7138,0.85047,0.7751,0.40286,0.62885,0.97414,2.84371e-05,2.84371e-05,2.84371e-05
